Latitude,Longitude,name,description
48.888766,2.396685,PA_0909,SOUS LE PONT EN HAUT A GAUCHE
48.874203,2.310219,PA_0918,
48.861208,2.3678,PA_0927,
48.848236,2.434727,PA_0928,
48.86513,2.363081,PA_0954,
48.867216,2.353292,Pa_0974,
48.860094,2.361234,PA_1013,
48.862674,2.353322,PA_1049,
48.814714,2.35536,PA_1192,VERT
48.814812,2.355444,PA_1194,ORANGE
48.93324,2.308266,PA_1435,
48.862793,2.276521,PA_1436,
48.84511,2.261539,PA_1437,
48.887448,2.318758,PA_1438,
48.858983,2.304337,PA_1439,
48.836192,2.400222,PA_1440,
48.852146,2.346653,PA_1441,
48.863137,2.296545,PA_1442,
48.691253,2.610455,PA_1443,
48.850426,2.344707,PA_1444,
48.841359,2.307184,PA_1445,
48.844445,2.318149,PA_1446,
48.83255,2.304369,PA_1447,
48.844731,2.293039,PA_1448,
48.858191,2.311045,PA_1449,
48.860695,2.320991,PA_1450 (a chercher autour de cet endroit car introuvable),"	Ce SI est situé dans une propriété privée. Ne pas tenter d'y pénétrer. Il peut être flashé de l'extérieur, depuis la station de métro Assemblée Nationale comme indiqué par Invader"
48.846696,2.41065,PA_1451,
48.86551,2.372447,PA_1452,
48.846367,2.308957,PA_1453,
48.842022,2.281349,PA_1454,
48.88006,2.331212,PA_1455,
48.868365,2.358539,PA_1456,
48.857302,2.375646,PA_1457,
48.875709,2.343698,PA_1458,
48.872148,2.343307,PA_1459,
48.856619,2.444376,PA_1460,
48.846287,2.379519,PA_1461,
48.891362,2.319239,PA_1462,
48.848568,2.347903,PA_1463,
48.848214,2.346976,PA_1464,
48.898045,2.386217,PA_1465,
48.853363,2.346179,PA_1466,SOUS LA PROMENADE QUI EST FERMEE EN CE MOMENT ... ZUT
48.82302,2.543613,PA_1467,
48.853912,2.37278,PA_1468,
48.874047,2.363789,PA_1469,
48.870765,2.348466,PA_1470,
48.880264,2.366811,PA_1471,
48.843649,2.293269,PA_1472,
48.864819,2.35822,PA_1473,
48.85644,2.353,PA_1474 ET 1475,
48.862209,2.297293,PA_1476,
48.861837,2.373032,PA_1477,
48.850768,2.342319,PA_1478,
48.887845,2.353636,PA_1479,
48.863118,2.347904,PA_1480,
48.870334,2.381666,PA_1481,
48.746125,2.446424,PA_1482,
48.869978,2.352411,PA_1483,
48.849017,2.40999,PA_1484,
48.858509,2.350597,PA_1485,
48.817968,2.413656,PA_1486,
48.866433,2.334367,PA_1487,
48.880222,2.286177,PA_1488,
48.87728,2.36975,PA_1489,
48.876486,2.341458,PA_1490,
48.829201,2.380502,PA_1495,
48.861674,2.348222,PA_1496,
48.863206,2.364256,PA_1497,
48.837282,2.348962,PA_1498,
48.855059,2.324768,PA_1499,
48.860829,2.352946,PA_1500,En haut de Beaubourg sur un des tuyau bleu
48.853432,2.353786,Pa_1501 & 1502,
48.853431,2.353789,PA_1501 ET 1502,
48.851271,2.349923,Pa_1503,
48.859272,2.349543,PA_1504,
48.869637,2.361783,Pa_1505,
48.848431,2.348442,Pa_1506,
48.852484,2.330111,Pa_1507,
48.854017,2.362294,Pa_1508,
48.855771,2.356992,Pa_1509,
48.868044,2.3484,Pa_1510,Yora peruvian restaurant 
48.85635,2.365804,Pa_1511,
48.855627,2.351418,PA_1512,
48.848329,2.28102,PA_1513,
48.86427,2.310702,PA_1514,
48.856818,2.341748,PA_1515,
48.849505,2.36029,PA_1516,
48.833803,2.382641,PA_1517,
48.853322,2.334051,Pa_1518,
48.852865,2.359407,Pa_1519,
48.885094,2.355266,Pa_1520,
48.871888,2.297044,PA_1521,
48.877534,2.303576,PA_1522 ,
48.866582,2.337404,PA_1523,
48.870477,2.386804,Pa.620,
43.296535,-0.372913,PAU-01,
43.295395,-0.372092,PAU-02,
43.299457,-0.36694,PAU-03,
43.295822,-0.365918,PAU-04,
43.29609,-0.374989,PAU-05,
43.295145,-0.37383,PAU-06,
43.298067,-0.370056,PAU-07,
43.298693,-0.368301,PAU-08,
43.293608,-0.36551,PAU-10,SOUS LA PASSERELLE
42.699967,2.886744,PRP-01,
42.69843,2.896947,PRP-02,
42.699786,2.90112,PRP-03,
42.701425,2.893213,PRP-04,
42.698871,2.895766,PRP-05,
42.699628,2.895091,PRP-06,
42.697507,2.892634,PRP-07,
42.700361,2.890434,PRP-08,
48.113707,-1.679631,RN-01,
48.11365,-1.68079,RN-02,
48.107304,-1.680104,RN-03,
48.108557,-1.677175,RN-04,
48.865889,2.37815,"Space Invader PA__0290 & PA_0532, 113 rue Oberkampf",
48.861071,2.350494,"Space Invader PA_0002, 45 rue Quincampoix",
48.848851,2.348519,"Space Invader PA_0003, 14 rue de la Montagne Sainte-GeneviÃ¨ve",
48.847105,2.351085,"Space Invader PA_0004, 22 rue Monge",
48.85181,2.33376,"Space Invader PA_0005, 25 rue Guisarde",
48.855063,2.336769,"Space Invader PA_0006, 40 rue de Seine",
48.873073,2.363517,"Space Invader PA_0007, 89 quai de Valmy",
48.865787,2.397594,"Space Invader PA_0008 & PA_1083, Impasse Cordon-Boussard",
48.85326,2.37574,"Space Invader PA_0010, 30 rue de Charonne",
48.847401,2.375463,"Space Invader PA_0013, 47 avenue Daumesnil",
48.848836,2.372716,"Space Invader PA_0014, 59 avenue Ledru-Rollin",
48.848117,2.380831,"Space Invader PA_0015, 24 rue de CÃ®teaux",
48.84949,2.374375,"Space Invader PA_0016, 76 avenue Ledru-Rollin",
48.815751,2.361939,"Space Invader PA_0017, face Ã  la rue Voltaire",
48.888538,2.341277,"Space Invader PA_0018, 16 rue Saint-Vincent",
48.873203,2.364043,"Space Invader PA_0019, pont piÃ©ton de la Grange aux Belles",
48.870718,2.345908,"Space Invader PA_0020, 20 rue Saint-Fiacre",
48.870137,2.345564,"Space Invader PA_0021, 12 rue Saint-Fiacre",
48.859843,2.364654,"Space Invader PA_0022, 68 rue de Turenne",
48.8622,2.35343,"Space Invader PA_0023, 5 impasse Beaubourg",
48.833385,2.354526,"Space Invader PA_0024, 73 avenue des Gobelins",
48.864634,2.363456,"Space Invader PA_0025, 2 rue de la Corderie",
48.861207,2.357949,"Space Invader PA_0027, fontaine des Haudriettes",
48.853923,2.376619,"Space Invader PA_0028, face au 5 rue Keller",
48.862597,2.359894,"Space Invader PA_0029, 21 rue Pastourelle",
48.860959,2.350511,"Space Invader PA_0030, 44 rue Quincampoix",
48.86125,2.35068,"Space Invader PA_0031, 30 rue de Venise",
48.86096,2.36275,"Space Invader PA_0032, 108 rue Vieille du Temple",
48.858645,2.358503,"Space Invader PA_0034, 61 rue Vieille du Temple",
48.857217,2.361749,"Space Invader PA_0035 & PA_0482, 24 rue PavÃ©e",
48.837191,2.373305,"Space Invader PA_0036, face au 7 boulevard Vincent Auriol",
48.85557,2.369763,"Space Invader PA_0037, 8 rue du Pasteur Wagner",
48.853203,2.374937,"Space Invader PA_0038, 1 passage ThÃ©riÃ©",
48.848325,2.346597,"Space Invader PA_0039, 2 rue d'Ã‰cosse",
48.847145,2.348168,"Space Invader PA_0040, 45 rue de la Montagne Sainte-GeneviÃ¨ve",
48.89768,2.386005,"Space Invader PA_0041, Porte de la Villette",
48.853801,2.337066,Space Invader PA_0042,
