name,Latitude,Longitude
"Space Invader PA_0208, mÃ©tro Raspail",48.837428,2.331491
"Space Invader PA_0209, sur la coque du Batofar",48.833351,2.379387
"Space Invader PA_0210, 6 rue Marx Dormoy",48.885295,2.359571
"Space Invader PA_0211, 30 rue du Faubourg Saint-Antoine",48.852441,2.371607
"Space Invader PA_0212, 123 boulevard de Charonne",48.85705,2.39305
"Space Invader PA_0213, 84 rue Mouffetard",48.842099,2.349683
"Space Invader PA_0215 & PA_1056, 0 rue Montgallet",48.842592,2.386157
"Space Invader PA_0216, 67 rue de l'Amiral Mouchez",48.821572,2.342467
"Space Invader PA_0218, Tunnel Van-Gogh",48.84423,2.37204
"Space Invader PA_0219, face au 8 rue AndrÃ© Voguet",48.81957,2.37367
"Space Invader PA_0220, mÃ©tro Quai de la Gare",48.837396,2.373523
"Space Invader PA_0221, 91 rue Rebeval",48.873796,2.382938
"Space Invader PA_0222, 94 rue du Faubourg du Temple",48.871109,2.374427
"Space Invader PA_0223, 20 rue Abel",48.848217,2.376069
"Space Invader PA_0224, sur les panneaux d'information du pÃ©riph'",48.819874,2.373607
"Space Invader PA_0225, sur le pont du periph' porte d'Ivry",48.819453,2.373015
"Space Invader PA_0226, 83 rue d'Hauteville",48.876749,2.351173
"Space Invader PA_0228, pont de la rue de l'Ourcq",48.88991,2.38295
"Space Invader PA_0229, rue Antoine Dubois",48.851027,2.339681
"Space Invader PA_0231, 1 rue Tiquetonne",48.864322,2.349905
"Space Invader PA_0232, 11 rue FranÃ§aise",48.864543,2.347672
"Space Invader PA_0233, 1 rue des CÃ©vennes",48.844456,2.276331
"Space Invader PA_0236, 16 rue Magellan",48.87095,2.29964
"Space Invader PA_0237, 156 avenue des Champs Ã‰lysÃ©es",48.873433,2.297074
"Space Invader PA_0238, 8 rue FranÃ§ois 1er",48.866054,2.307521
"Space Invader PA_0240, face au 23 boulevard Diderot",48.845741,2.373868
"Space Invader PA_0241, mÃ©tro Bel-Air face sud",48.841006,2.400885
"Space Invader PA_0242, 94-100 avenue Saint-MandÃ©",48.844487,2.406932
"Space Invader PA_0243, 8bis rue Abel",48.846819,2.375117
"Space Invader PA_0245, 47 rue Oberkampf",48.864602,2.371976
"Space Invader PA_0247, 1 rue Firmin Gillot",48.833349,2.289533
"Space Invader PA_0248, 64 rue de la Fontaine au Roi",48.868299,2.374516
"Space Invader PA_0250, entrÃ©e du mini-square de Jemmapes",48.868861,2.367355
"Space Invader PA_0251, Ã  l'ouest de la fontaine des Innocents",48.860668,2.348006
"Space Invader PA_0253, pont de l'Alma cÃ´tÃ© rive droite",48.864059,2.301387
"Space Invader PA_0254, 101 avenue des Champs-Ã‰lysÃ©es",48.871809,2.300541
"Space Invader PA_0255, sous le banc face Ã  l'arrÃªt de bus Varsovie",48.861297,2.291354
"Space Invader PA_0256, place de Varsovie",48.860866,2.291805
"Space Invader PA_0257, mÃ©tro Passy",48.857696,2.285713
"Space Invader PA_0258, 29 avenue de Lamballe",48.854483,2.278808
"Space Invader PA_0259, 78 rue d'Auteuil",48.84826,2.259879
"Space Invader PA_0260, place de l'Ã‰glise d'Auteuil",48.847438,2.268704
"Space Invader PA_0262, place de la Nation (cÃ´tÃ© avenue du TrÃ´ne)",48.848006,2.397285
"Space Invader PA_0263, sur les marches du mÃ©tro Victor Hugo",48.86995,2.285663
"Space Invader PA_0264, 115 rue de la Tour",48.862998,2.275514
"Space Invader PA_0265, face au 27 boulevard Jules Sandeau",48.862923,2.272269
"Space Invader PA_0266, 11 rue de la Manutention",48.864649,2.29564
"Space Invader PA_0267, 10 rue de Magdebourg",48.864144,2.290235
